# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
gang jie 	港姐	c=0 d=1.6919e-11 t=16526
gang jie shu 	港姐书	c=1 d=1.70038e-10 t=16526
gang kai shi 	刚开始	c=1 d=3.36503e-11 t=16526
gang lai 	刚来	c=1 d=0.0131019 t=16526
gang qin qu 	钢琴曲	c=1 d=0.0227089 t=16526
gang wei 	岗位	c=2 d=1.28245e-06 t=16526
gang zai 	刚在	c=1 d=0.00499159 t=16526
gao 	告	c=1 d=0.00142006 t=16526
gao 	搞	c=6 d=0.839465 t=16526
gao 	膏	c=1 d=0.000363402 t=16526
gao 	高	c=4 d=0.0110075 t=16526
gao dian 	搞点	c=2 d=0.00226541 t=16526
gao ji 	高级	c=1 d=0.00184551 t=16526
gao ke ji 	高科技	c=1 d=1.85602e-11 t=16526
gao le 	搞了	c=1 d=0.00505205 t=16526
gao le xia 	搞了下	c=1 d=0.00423234 t=16526
gao liang 	高亮	c=1 d=6.22097e-05 t=16526
gao su 	告诉	c=1 d=0.628135 t=16526
gao su ni 	告诉你	c=1 d=0.535261 t=16526
gao tie 	高铁	c=2 d=0.371577 t=16526
gao xiao 	高校	c=1 d=4.49711e-11 t=16526
gao zhong 	高中	c=2 d=0.241714 t=16526
ge 	个	c=28 d=1.70805 t=16526
ge 	各	c=6 d=1.29846 t=16526
ge 	哥	c=6 d=0.704808 t=16526
ge 	歌	c=6 d=1.03968e-09 t=16526
ge ci 	歌词	c=1 d=2.68611e-07 t=16526
ge ge 	各个	c=1 d=2.00958e-05 t=16526
ge in ta 	个㏌他	c=3 d=0.064894 t=16526
ge kai 	隔开	c=1 d=0.0112206 t=16526
ge qu 	歌曲	c=1 d=6.70891e-11 t=16526
ge ren 	个人	c=5 d=0.0411566 t=16526
ge sha 	个啥	c=1 d=0.00843808 t=16526
ge shi 	格式	c=17 d=2.96494 t=16526
ge shi hua 	格式化	c=2 d=0.0117959 t=16526
ge shou 	歌手	c=1 d=0.0437178 t=16526
ge tou 	个头	c=0 d=3.63402e-05 t=16526
ge yue 	个月	c=1 d=0.423162 t=16526
ge zhe 	搁着	c=1 d=0.15259 t=16526
ge zhong 	各种	c=4 d=0.0925506 t=16526
ge zhong zheng ming 	各种证明	c=1 d=0.554327 t=16526
gei 	给	c=13 d=0.50945 t=16526
gei dao 	给到	c=1 d=0.00355287 t=16526
gei de 	给的	c=2 d=0.00132678 t=16526
gei dian 	给点	c=0 d=2.60628e-06 t=16526
gei ge 	给个	c=1 d=0.0152985 t=16526
gei le 	给了	c=2 d=0.00503862 t=16526
gei ni 	给你	c=15 d=1.3303 t=16526
gei ren jia 	给人家	c=1 d=0.00562801 t=16526
gei ta 	给他	c=8 d=0.852144 t=16526
gei wo 	给我	c=13 d=1.4602 t=16526
gei wo ba 	给我爸	c=1 d=0.00194986 t=16526
gei wo men 	给我们	c=1 d=0.0323869 t=16526
gen 	跟	c=66 d=3.20847 t=16526
gen ju 	根据	c=7 d=0.666977 t=16526
gen ni 	跟你	c=5 d=0.0459951 t=16526
gen ta 	跟他	c=2 d=0.635108 t=16526
gen wo 	跟我	c=3 d=0.123737 t=16526
geng 	更	c=12 d=1.01331 t=16526
geng dao 	更到	c=1 d=4.37327e-06 t=16526
geng duo 	更多	c=1 d=8.00856e-06 t=16526
geng gai 	更改	c=1 d=0.00442715 t=16526
geng gao 	更高	c=1 d=1.11685e-06 t=16526
geng hao 	更好	c=3 d=0.170333 t=16526
geng shi 	更是	c=1 d=0.000257369 t=16526
geng xia 	更下	c=1 d=1.01301e-05 t=16526
geng xiang xi 	更详细	c=1 d=5.5461e-07 t=16526
geng xin 	更新	c=46 d=2.03132 t=16526
gong 	供	c=1 d=1.50109e-14 t=16526
gong 	工	c=1 d=5.38128e-05 t=16526
gong gao 	公告	c=9 d=0.357641 t=16526
gong ju 	工具	c=19 d=0.597501 t=16526
gong ju lian 	工具链	c=1 d=0.0250972 t=16526
gong kai 	公开	c=1 d=2.21708e-14 t=16526
gong neng 	功能	c=20 d=0.954432 t=16526
gong si 	公司	c=20 d=2.21273 t=16526
gong wei 	工位	c=0 d=1.12788e-05 t=16526
gong wei shang 	工位上	c=1 d=0.000113353 t=16526
gong xi 	恭喜	c=1 d=0.00472447 t=16526
gong xian 	贡献	c=2 d=0.00240792 t=16526
gong ye 	工业	c=1 d=0.00108628 t=16526
gong yi 	工艺	c=0 d=0.00605068 t=16526
gong ying 	供应	c=1 d=0.0211736 t=16526
gong ying shang 	供应商	c=4 d=0.08291 t=16526
gong zi 	工资	c=3 d=5.17037e-05 t=16526
gong zi tiao 	工资条	c=1 d=1.16002e-11 t=16526
gong zuo 	工作	c=10 d=1.14705 t=16526
gou 	够	c=2 d=1.43135 t=16526
gou 	沟	c=2 d=0.609571 t=16526
gou 	狗	c=1 d=0.932394 t=16526
gou 	苟	c=1 d=0.382893 t=16526
gou bu gou 	够不够	c=1 d=4.89359e-05 t=16526
gou jian 	构建	c=2 d=0.00942644 t=16526
gou jian zhe 	构建者	c=1 d=0.0086517 t=16526
gou le 	勾勒	c=3 d=0.814696 t=16526
gou le 	够了	c=1 d=2.26579e-05 t=16526
gou mai le 	购买了	c=1 d=0.00165327 t=16526
gou qiang 	够呛	c=1 d=0.384812 t=16526
gou tong 	沟通	c=3 d=0.0559749 t=16526
gou tong zhong 	沟通中	c=1 d=0.286505 t=16526
gou wan 	够晚	c=1 d=0.00535353 t=16526
gou xuan 	勾选	c=5 d=0.829576 t=16526
gou yong 	够用	c=1 d=5.30477e-13 t=16526
gou zao 	构造	c=1 d=0.0287246 t=16526
gu 	顾	c=1 d=0.00377257 t=16526
gu ding 	固定	c=8 d=0.888865 t=16526
gu ge 	谷歌	c=9 d=0.937067 t=16526
gu gong 	故宫	c=4 d=0.00102307 t=16526
gu ji 	估计	c=28 d=1.89583 t=16526
gu ji shi 	估计是	c=1 d=0.000662162 t=16526
gu ruo 	股弱	c=1 d=4.81074e-10 t=16526
gu shi 	故事	c=1 d=0.00149594 t=16526
gu yi 	故意	c=1 d=0.000314351 t=16526
gu zhang 	故障	c=1 d=0.0241131 t=16526
gua 	挂	c=0 d=3.43125e-06 t=16526
gua feng 	刮风	c=1 d=4.62054e-06 t=16526
gua le 	挂了	c=1 d=0.0107269 t=16526
gua mian 	挂面	c=1 d=0.00158052 t=16526
guan 	关	c=5 d=0.339596 t=16526
guan 	官	c=1 d=0.00951391 t=16526
guan 	管	c=1 d=0.00946646 t=16526
guan bi 	关闭	c=7 d=0.347858 t=16526
guan dao 	管道	c=2 d=0.000164106 t=16526
guan diao 	关掉	c=4 d=0.0417941 t=16526
guan fang 	官方	c=5 d=0.960789 t=16526
guan jia 	管家	c=1 d=7.41323e-09 t=16526
guan kan 	观看	c=1 d=3.20974e-14 t=16526
guan kong 	管控	c=1 d=0.752882 t=16526
guan kong pin 	管控品	c=1 d=0.484325 t=16526
guan le 	关了	c=4 d=0.223532 t=16526
guan le 	管了	c=0 d=0.0124307 t=16526
guan li 	管理	c=17 d=1.28806 t=16526
guan li de 	管理的	c=1 d=0.360595 t=16526
guan li duan 	管理段	c=8 d=0.133555 t=16526
guan li duan 	管理端	c=3 d=0.196991 t=16526
guan li guan 	管理观	c=1 d=0.0122161 t=16526
guan li qi 	管理器	c=7 d=0.0231676 t=16526
guan li yuan 	管理员	c=6 d=0.847226 t=16526
guan lian 	关联	c=1 d=9.73454e-08 t=16526
guan ta 	管他	c=1 d=0.279431 t=16526
guan wai 	关外	c=0 d=0.012307 t=16526
guan wai wang 	关外网	c=1 d=0.123687 t=16526
guan wang 	官网	c=3 d=0.00109172 t=16526
guan wo 	管我	c=1 d=4.65492e-05 t=16526
guan xi 	关系	c=3 d=0.0820195 t=16526
guan yu 	关于	c=8 d=0.376845 t=16526
guan zhe ge 	管这个	c=1 d=0.00729913 t=16526
guan zhong 	观众	c=1 d=0.000155324 t=16526
guan zhu 	关注	c=3 d=0.398519 t=16526
guang 	光	c=2 d=0.000145549 t=16526
guang biao 	光标	c=4 d=0.148133 t=16526
guang da 	广大	c=2 d=0.000938486 t=16526
guang gao 	广告	c=1 d=0.0315873 t=16526
guang jie 	逛街	c=1 d=7.46713e-06 t=16526
guang tou 	光头	c=1 d=0.00394621 t=16526
guang zhou 	广州	c=3 d=0.272532 t=16526
gui 	归	c=1 d=1.95019e-05 t=16526
gui 	贵	c=0 d=0.0197899 t=16526
gui 	鬼	c=1 d=0.000232877 t=16526
gui ding 	规定	c=2 d=0.00509243 t=16526
gui fan 	规范	c=2 d=3.31894e-07 t=16526
gui hua 	规划	c=2 d=0.472367 t=16526
gui ze 	规则	c=12 d=0.641001 t=16526
gun dong 	滚动	c=2 d=0.000804733 t=16526
gun lun 	滚轮	c=1 d=2.77603e-12 t=16526
guo 	过	c=18 d=0.841665 t=16526
guo 	锅	c=1 d=0.0319048 t=16526
guo ca hang 	过擦行	c=1 d=0.000784864 t=16526
guo cheng 	过程	c=2 d=0.689443 t=16526
guo duan 	果断	c=1 d=0.166127 t=16526
guo duan 	过段	c=2 d=0.16696 t=16526
guo duo 	过多	c=1 d=9.90555e-07 t=16526
guo ei 	过诶	c=1 d=0.000652304 t=16526
guo fen 	过分	c=1 d=0.00373503 t=16526
guo fu cheng 	郭富城	c=1 d=0.748264 t=16526
guo hui 	国会	c=1 d=0.831104 t=16526
guo ji 	国际	c=1 d=0.00995182 t=16526
guo ji ban 	国际版	c=1 d=0.0219278 t=16526
guo ji nian 	过几年	c=1 d=0.465334 t=16526
guo ji tian 	过几天	c=1 d=0.00113627 t=16526
guo jia 	国家	c=1 d=0.000995182 t=16526
guo jia fan 	国家饭	c=1 d=0.0100017 t=16526
guo jie 	过节	c=1 d=0.000490542 t=16526
guo lai 	过来	c=4 d=0.00426545 t=16526
guo le 	过了	c=3 d=0.408608 t=16526
guo liang tian 	过两天	c=1 d=0.0160027 t=16526
guo lv 	过滤	c=5 d=0.273963 t=16526
guo nei 	国内	c=7 d=0.159614 t=16526
guo nian 	过年	c=1 d=1.03168e-14 t=16526
guo nian le 	过年了	c=1 d=0.240508 t=16526
guo qi 	国企	c=1 d=0.697676 t=16526
guo qi 	过期	c=9 d=0.701173 t=16526
guo qu 	过去	c=2 d=0.247833 t=16526
guo qu le 	过去了	c=2 d=0.810584 t=16526
guo ran 	果然	c=2 d=0.123499 t=16526
guo shi 	过时	c=1 d=2.72152e-14 t=16526
guo wai 	国外	c=7 d=0.0968105 t=16526
guo wai shou ji hao 	国外手机号	c=1 d=0.000247277 t=16526
guo wan nian 	过完年	c=1 d=0.000175127 t=16526
ha ha 	哈哈	c=11 d=0.763379 t=16526
ha ha ha 	哈哈哈	c=1 d=1.90826e-14 t=16526
ha luo 	哈罗	c=1 d=0.0262523 t=16526
hai 	孩	c=1 d=4.36198e-05 t=16526
hai 	还	c=40 d=1.70065 t=16526
hai ba 	还把	c=1 d=0.0332068 t=16526
hai bu 	还不	c=0 d=0.000543443 t=16526
hai bu kuai 	还不快	c=1 d=0.00546167 t=16526
hai bu ru 	还不如	c=3 d=0.000536738 t=16526
hai bu xing 	还不行	c=2 d=8.31946e-09 t=16526
hai chao 	海潮	c=1 d=0.00546167 t=16526
hai de 	还得	c=2 d=0.382893 t=16526
hai dou shi 	还都是	c=1 d=1.72666e-14 t=16526
hai gui 	还贵	c=1 d=0.00416933 t=16526
hai hao 	还好	c=4 d=0.00733355 t=16526
hai hao shuo 	还好说	c=1 d=0.00802655 t=16526
hai ji de 	还记得	c=1 d=0.180866 t=16526
hai ke yi 	还可以	c=6 d=0.109154 t=16526
hai mei 	还没	c=12 d=0.548887 t=16526
hai mei fa 	还没法	c=1 d=0.355226 t=16526
hai na yang 	还那样	c=1 d=4.25428e-05 t=16526
hai nen 	还嫩	c=1 d=0.000246044 t=16526
hai neng 	还能	c=6 d=0.844483 t=16526
hai neng chi 	还能吃	c=1 d=0.00211225 t=16526
hai sheng 	还剩	c=1 d=6.3488e-09 t=16526
hai shi 	还是	c=75 d=1.75979 t=16526
hai si 	害死	c=1 d=0.786628 t=16526
hai ting 	还挺	c=0 d=0.000121866 t=16526
hai ting duo 	还挺多	c=1 d=0.00122477 t=16526
hai xiang 	还想	c=2 d=0.484325 t=16526
hai xing 	还行	c=4 d=0.00223627 t=16526
hai yao 	还要	c=13 d=0.535388 t=16526
hai yi wei 	还以为	c=3 d=0.891366 t=16526
hai yong 	还用	c=1 d=0.00117675 t=16526
hai you 	还有	c=33 d=2.9356 t=16526
hai you ge 	还有个	c=1 d=8.31387e-05 t=16526
hai you jiu 	还有救	c=1 d=0.000746586 t=16526
hai yuan 	还远	c=1 d=0.794534 t=16526
hai zai 	还在	c=4 d=0.91394 t=16526
hai zao 	还早	c=1 d=0.355226 t=16526
hai zhen 	还真	c=1 d=0.000232276 t=16526
hai zhen mei you 	还真没有	c=1 d=0.0023344 t=16526
hai zhen shi 	还真是	c=1 d=2.31275e-11 t=16526
hai zhen you 	还真有	c=1 d=0.0359725 t=16526
hai zi 	孩子	c=3 d=0.0150656 t=16526
hai zi 	海子	c=3 d=0.164995 t=16526
han 	含	c=1 d=0.786628 t=16526
han 	汗	c=0 d=3.3379e-05 t=16526
han guo 	韩国	c=0 d=0.000123091 t=16526
han shu 	函数	c=9 d=0.628135 t=16526
hang 	行	c=3 d=0.126818 t=16526
hang qing 	行情	c=2 d=0.147449 t=16526
hang shou 	行首	c=1 d=1.56911e-06 t=16526
hang ye 	行业	c=1 d=0.0028799 t=16526
hang zhou 	杭州	c=5 d=2.02297 t=16526
hao 	号	c=23 d=0.985112 t=16526
hao 	好	c=48 d=1.92499 t=16526
hao 	薅	c=1 d=5.64642e-12 t=16526
hao 	豪	c=2 d=0.204948 t=16526
hao ba 	好吧	c=2 d=0.268905 t=16526
hao bu hao 	好不好	c=1 d=6.17501e-06 t=16526
hao bu rong yi 	好不容易	c=1 d=0.937067 t=16526
hao chu 	好处	c=1 d=2.99845e-07 t=16526
hao de 	好的	c=29 d=1.169 t=16526
hao dian 	好点	c=2 d=0.0366992 t=16526
hao duo 	好多	c=12 d=1.06618 t=16526
hao duo le 	好多了	c=1 d=0.00145173 t=16526
hao duo tian 	好多天	c=0 d=9.40133e-11 t=16526
hao duo tian le 	好多天了	c=1 d=9.44845e-10 t=16526
hao ge 	豪哥	c=2 d=0.0031354 t=16526
hao hao 	好好	c=1 d=0.0407622 t=16526
hao ji ci 	好几次	c=1 d=0.00296761 t=16526
hao ji ge 	好几个	c=2 d=0.123515 t=16526
hao ji tian 	好几天	c=2 d=0.0104115 t=16526
hao jiu 	好久	c=4 d=0.748264 t=16526
hao jiu 	好酒	c=1 d=0.00192083 t=16526
hao le 	好了	c=12 d=0.389653 t=16526
hao le mei 	好了没	c=1 d=0.946485 t=16526
hao lei 	好累	c=1 d=0.00895987 t=16526
hao lou 	号楼	c=1 d=0.0555762 t=16526
hao qi 	好奇	c=2 d=0.000110003 t=16526
hao sheng yin 	好声音	c=1 d=0.0893673 t=16526
hao shi 	好事	c=1 d=0.00220948 t=16526
hao xian 	号线	c=2 d=0.128093 t=16526
hao xiang 	好像	c=35 d=1.14285 t=16526
hao yong 	好用	c=2 d=0.055857 t=16526
hao zhou 	毫州	c=1 d=8.15618e-15 t=16526
hao zhuan 	好转	c=1 d=0.603506 t=16526
he 	合	c=1 d=7.98788e-05 t=16526
he 	和	c=4 d=0.223708 t=16526
he 	喝	c=5 d=0.090391 t=16526
he bi gui 	和碧桂	c=1 d=0.00951391 t=16526
he bing 	合并	c=7 d=1.01679 t=16526
he dian 	喝点	c=1 d=3.3552e-06 t=16526
he dian 	核电	c=0 d=3.32181e-07 t=16526
he dian shui 	核电睡	c=1 d=3.33846e-06 t=16526
he dong 	河东	c=1 d=0.000443861 t=16526
he fan 	盒饭	c=2 d=0.338196 t=16526
he ge 	合格	c=1 d=2.03503e-06 t=16526
he ji 	合计	c=3 d=1.99701 t=16526
he jiu 	喝酒	c=1 d=8.14925e-05 t=16526
he li 	合理	c=1 d=0.33454 t=16526
he nan 	河南	c=1 d=0.00108086 t=16526
he ping 	和平	c=1 d=0.0109436 t=16526
he shi 	合适	c=1 d=1.04152e-08 t=16526
he shui 	喝水	c=1 d=0.0183156 t=16526
he suan 	核算	c=1 d=0.527292 t=16526
he tong 	合同	c=1 d=1.39889e-08 t=16526
he xin 	核心	c=1 d=0.0167392 t=16526
he yan 	核验	c=1 d=0.283654 t=16526
he ze 	菏泽	c=1 d=0.000505481 t=16526
he zu 	合租	c=2 d=1.57827e-08 t=16526
he zuo 	合作	c=0 d=0.0218712 t=16526
hei 	黑	c=1 d=0.0109436 t=16526
hen 	很	c=3 d=0.00349997 t=16526
hen 	狠	c=1 d=0.0645703 t=16526
hen diao 	很屌	c=1 d=4.65572e-07 t=16526
hen duo 	很多	c=8 d=0.0457511 t=16526
hen hao 	很好	c=1 d=7.73574e-10 t=16526
hen he li 	很合理	c=1 d=0.329559 t=16526
hen huo 	很火	c=1 d=0.83527 t=16526
hen ji 	痕迹	c=1 d=2.23936e-14 t=16526
hen jin 	很近	c=1 d=0.142987 t=16526
hen kuai 	很快	c=1 d=2.65893e-05 t=16526
hen li hai 	很厉害	c=1 d=0.00516939 t=16526
hen man 	很慢	c=1 d=0.0188734 t=16526
hen nan 	很难	c=1 d=0.000142667 t=16526
hen shao 	很少	c=3 d=0.606531 t=16526
hen wei xian 	很危险	c=1 d=0.00585769 t=16526
hen xiang 	很像	c=1 d=0.130029 t=16526
hen xin 	狠心	c=1 d=0.0356146 t=16526
hen you 	很油	c=1 d=0.00179994 t=16526
hen you yong 	很有用	c=1 d=8.0918e-10 t=16526
heng 	哼	c=1 d=0.690734 t=16526
heng xiang 	横向	c=1 d=2.03538e-08 t=16526
hong bao 	红包	c=3 d=0.00113611 t=16526
hong cha 	红茶	c=1 d=1.77925e-14 t=16526
hong dou 	红豆	c=1 d=2.90232e-06 t=16526
hong mi 	红米	c=1 d=0.199888 t=16526
hong tang 	红糖	c=1 d=0.110803 t=16526
hou 	厚	c=1 d=0.559898 t=16526
hou 	后	c=33 d=1.21646 t=16526
hou bu 	候补	c=4 d=0.502149 t=16526
hou dai 	后代	c=1 d=0.00398587 t=16526
hou de 	后的	c=1 d=0.000825105 t=16526
hou du a 	后杜阿	c=1 d=1.79591e-06 t=16526
hou duan 	后端	c=10 d=0.251579 t=16526
hou hui 	后悔	c=4 d=0.0161102 t=16526
hou jia 	后加	c=1 d=4.73912e-10 t=16526
hou lai 	后来	c=1 d=0.628135 t=16526
hou mian 	后面	c=5 d=0.126186 t=16526
hou qi 	后期	c=2 d=0.0575558 t=16526
hou tai 	后台	c=7 d=0.875136 t=16526
hou xian dai 	后现代	c=1 d=9.28217e-07 t=16526
hu 	壶	c=1 d=0.0026189 t=16526
hu 	胡	c=4 d=0.00543443 t=16526
hu 	虎	c=1 d=0.00165327 t=16526
hu chu 	呼出	c=4 d=6.22757e-06 t=16526
hu fu pin 	护肤品	c=1 d=0.000510561 t=16526
hu ge 	胡歌	c=1 d=0.00341356 t=16526
hu hai chao 	胡海潮	c=2 d=0.00873865 t=16526
hu hang 	护航	c=0 d=0.00257325 t=16526
hu lian 	互联	c=1 d=0.04573 t=16526
hu lian wang 	互联网	c=2 d=0.00117088 t=16526
hu lu 	葫芦	c=1 d=8.32095e-15 t=16526
hu lve 	忽略	c=2 d=2.10983e-11 t=16526
hua 	花	c=0 d=0.000506703 t=16526
hua 	话	c=9 d=0.818731 t=16526
hua an 	华安	c=2 d=0.390881 t=16526
hua ci 	划词	c=6 d=0.856415 t=16526
hua fen 	划分	c=1 d=0.000949097 t=16526
hua le 	花了	c=1 d=1.30139e-11 t=16526
hua qian 	花钱	c=2 d=0.000277414 t=16526
hua shui 	滑水	c=1 d=0.00771183 t=16526
hua shuo 	华硕	c=1 d=0.000244817 t=16526
hua ti 	话题	c=1 d=4.14924e-05 t=16526
hua wei 	华为	c=4 d=1.68735 t=16526
hua wei yun 	华为云	c=1 d=3.4059e-06 t=16526
hua xue 	化学	c=1 d=2.46723e-07 t=16526
hua xue pin 	化学品	c=1 d=0.114178 t=16526
hua zhuang pin 	化妆品	c=3 d=0.00610217 t=16526
huai 	坏	c=1 d=0.153355 t=16526
huai 	怀	c=1 d=0.15259 t=16526
huai bin 	淮滨	c=1 d=8.19707e-15 t=16526
huai le 	坏了	c=1 d=0.00364281 t=16526
huan 	换	c=11 d=0.273474 t=16526
huan cheng 	换成	c=3 d=0.19593 t=16526
huan cun 	缓存	c=11 d=0.234967 t=16526
huan fa 	焕发	c=1 d=0.085435 t=16526
huan ge 	换个	c=1 d=5.5175e-05 t=16526
huan hang 	换行	c=3 d=6.32089e-06 t=16526
huan hang fu 	换行符	c=1 d=4.78512e-06 t=16526
huan hao 	换号	c=1 d=0.0953692 t=16526
huan jiang 	环江	c=1 d=8.27241e-05 t=16526
huan jing 	环境	c=34 d=0.950469 t=16526
huan ka 	换卡	c=1 d=3.22364e-06 t=16526
huan le 	换了	c=2 d=0.262032 t=16526
huan le 	欢乐	c=1 d=0.0258615 t=16526
huan yi ge 	换一个	c=1 d=0.955997 t=16526
huang 	慌	c=1 d=2.68566e-05 t=16526
huang 	黄	c=1 d=0.000294568 t=16526
huang chuan 	潢川	c=2 d=1.04181 t=16526
huang ge 	慌个	c=1 d=2.06579e-06 t=16526
huang hong 	黄红	c=0 d=0.0344728 t=16526
huang hong jia 	黄红佳	c=1 d=0.346456 t=16526
huang hu 	恍惚	c=1 d=0.00065886 t=16526
huang jing 	黄静	c=1 d=1.51592e-12 t=16526
huang men ji 	黄焖鸡	c=1 d=0.000175127 t=16526
hui 	会	c=43 d=0.82299 t=16526
hui 	回	c=1 d=0.000273284 t=16526
hui ba 	会把	c=1 d=2.45451e-05 t=16526
hui bei 	会被	c=1 d=0.0290133 t=16526
hui bu hui 	会不会	c=2 d=0.196912 t=16526
hui bu lai 	回不来	c=0 d=2.94568e-05 t=16526
hui bu lai le 	回不来了	c=1 d=0.000296045 t=16526
hui da 	回答	c=9 d=1.0646 t=16526
hui dao 	回到	c=1 d=0.197899 t=16526
hui diao 	回调	c=3 d=0.0583358 t=16526
hui fu 	回复	c=4 d=0.0518189 t=16526
hui fu 	恢复	c=1 d=0.0411719 t=16526
hui gui 	回归	c=1 d=0.142987 t=16526
hui gun 	回滚	c=2 d=0.0302243 t=16526
hui guo 	回国	c=1 d=2.1992e-07 t=16526
hui guo tou 	回过头	c=1 d=2.21023e-07 t=16526
hui hua 	会话	c=2 d=1.05358 t=16526
hui hua 	绘画	c=1 d=0.56836 t=16526
hui huan 	回环	c=1 d=4.45161e-09 t=16526
hui jia 	回家	c=5 d=0.484 t=16526
hui lai 	回来	c=4 d=0.961075 t=16526
hui lai le 	回来了	c=1 d=0.00257991 t=16526
hui lao jia 	回老家	c=1 d=0.0018363 t=16526
hui le 	回了	c=1 d=0.00146632 t=16526
hui man 	会慢	c=1 d=0.0608101 t=16526
hui qu 	回去	c=6 d=0.23457 t=16526
hui se 	灰色	c=1 d=0.900325 t=16526
hui shou 	回收	c=2 d=0.0572688 t=16526
hui yi 	会议	c=1 d=1.64586e-09 t=16526
hui yong 	会用	c=2 d=0.00489275 t=16526
hui you 	会有	c=6 d=0.704752 t=16526
hui yuan 	会员	c=2 d=0.000828742 t=16526
hui zai 	会在	c=1 d=4.62054e-06 t=16526
hun 	婚	c=1 d=3.73566e-05 t=16526
hun chi 	混吃	c=0 d=0.0021068 t=16526
hun chi deng si 	混吃等死	c=1 d=0.0211736 t=16526
hun kou 	混口	c=1 d=0.00121866 t=16526
hun shen 	浑身	c=1 d=1.01563e-06 t=16526
huo 	或	c=17 d=0.936591 t=16526
huo 	活	c=1 d=0.597501 t=16526
huo che 	火车	c=2 d=0.000468957 t=16526
huo de 	活得	c=1 d=0.00778933 t=16526
huo de 	获得	c=2 d=0.386741 t=16526
huo dong 	活动	c=2 d=0.0911727 t=16526
huo gai 	活该	c=1 d=0.144424 t=16526
huo gu 	或顾	c=1 d=0.00621991 t=16526
huo hu 	火狐	c=23 d=4.38712 t=16526
huo qu 	获取	c=16 d=0.937067 t=16526
huo qu qi 	或取其	c=1 d=0.00117088 t=16526
huo qu qi 	获取器	c=1 d=0.00120052 t=16526
huo zhe 	或者	c=31 d=0.605686 t=16526
huo zhe 	活着	c=7 d=1.17727 t=16526
in 	㏌	c=0 d=0.000278085 t=16526
in de 	㏌的	c=1 d=0.0288686 t=16526
ji 	几	c=2 d=0.158817 t=16526
ji 	及	c=19 d=1.47198 t=16526
ji 	急	c=1 d=0.0125262 t=16526
ji 	机	c=0 d=2.62113e-14 t=16526
ji 	级	c=2 d=0.125872 t=16526
ji 	记	c=2 d=0.000159256 t=16526
ji 	鸡	c=5 d=0.173046 t=16526
ji bai 	几百	c=3 d=0.369723 t=16526
ji bai ge 	几百个	c=1 d=9.45006e-12 t=16526
ji ben 	基本	c=3 d=0.060205 t=16526
ji bie 	级别	c=1 d=0.000850233 t=16526
ji bu qing 	记不清	c=2 d=0.233575 t=16526
ji chang 	机场	c=1 d=2.30717e-12 t=16526
ji cheng 	继承	c=1 d=0.0293049 t=16526
ji cheng 	集成	c=1 d=0.0291588 t=16526
ji chu 	基础	c=2 d=0.00400585 t=16526
ji cun qi 	寄存器	c=1 d=2.01478e-06 t=16526
ji dan 	鸡蛋	c=1 d=0.168638 t=16526
ji de 	记得	c=1 d=0.0086517 t=16526
ji dian 	几点	c=4 d=0.579842 t=16526
ji dian dao 	几点到	c=1 d=0.255381 t=16526
ji dian shui 	几点睡	c=1 d=4.03704e-06 t=16526
ji fen 	几份	c=1 d=0.263158 t=16526
ji fu 	季付	c=1 d=1.4059e-08 t=16526
ji ge 	几个	c=4 d=0.0386916 t=16526
ji ge ren 	几个人	c=2 d=0.00433948 t=16526
ji ge yue 	几个月	c=1 d=5.59023e-12 t=16526
ji hua 	计划	c=1 d=0.396531 t=16526
ji hui 	机会	c=2 d=0.38868 t=16526
ji huo 	激活	c=1 d=0.0026852 t=16526
ji ke 	即可	c=5 d=0.227638 t=16526
ji kou 	几口	c=1 d=2.40092e-10 t=16526
ji kuai qian 	几块钱	c=1 d=0.00138093 t=16526
ji lu 	记录	c=10 d=1.70031 t=16526
ji ping 	几瓶	c=1 d=0.00167826 t=16526
ji qi ren 	机器人	c=9 d=3.52443 t=16526
ji qun 	集群	c=1 d=0.0202419 t=16526
ji ran 	既然	c=1 d=0.00663763 t=16526
ji ri zhi 	及日志	c=1 d=9.80532e-05 t=16526
ji shi 	几十	c=1 d=5.70316e-12 t=16526
ji shou 	几首	c=1 d=1.46025e-13 t=16526
ji shu 	技术	c=8 d=0.187308 t=16526
ji suan 	计算	c=1 d=1.19474e-05 t=16526
ji tian 	几天	c=2 d=0.12066 t=16526
ji tian jia 	几天假	c=1 d=0.32628 t=16526
ji tian le 	几天了	c=1 d=0.00172937 t=16526
ji xia lai 	记下来	c=1 d=0.00222055 t=16526
ji xiao 	绩效	c=2 d=0.00104891 t=16526
ji xu 	继续	c=4 d=1.117 t=16526
ji yong 	即用	c=2 d=0.00305798 t=16526
ji yu 	基于	c=1 d=0.190139 t=16526
ji zhi 	机制	c=2 d=0.209678 t=16526
jia 	佳	c=0 d=0.0344728 t=16526
jia 	假	c=2 d=0.0393791 t=16526
jia 	加	c=25 d=0.475296 t=16526
jia 	家	c=5 d=0.289179 t=16526
jia ban 	加班	c=7 d=0.465339 t=16526
jia can shu 	加参数	c=1 d=3.9879e-09 t=16526
jia da kong 	假大空	c=1 d=2.60628e-05 t=16526
jia de 	假的	c=2 d=0.88692 t=16526
jia de 	家的	c=1 d=0.00687406 t=16526
